⺕	gri
一見鐘情	jrt gin zu~ ci~
一見高低	jrt gin gou dri
一視同仁	jrt si tu~ jrn
一親芳澤	jrt crn fo~ zak
一覺醒來	jrt gau si~ loi
一覽	jrt lam
一覽無遺	jrt lam mou wri
一覽無餘	jrt lam mou jv
一覽表	jrt lam biu
一角銀幣	jrt gok ~rn bri
一觸即潰	jrt zuk zik kui
一觸即發	jrt zuk zik fat
一言	jrt jin
一言一動	jrt jin jrt du~
一言一行	jrt jin jrt hr~
一言不發	jrt jin brt fat
一言九鼎	jrt jin gru di~
一言以蔽	jrt jin ji bri
一言以蔽之	jrt jin ji bri zi
一言千金	jrt jin cin grm
一言堂	jrt jin to~
一言抄百總	jrt jin cau bak zu~
一言既出駟馬難追	jrt jin gei c!t si ma nan z!i
一言為定	jrt jin wri di~
一言為重	jrt jin wri cu~
一言難盡	jrt jin nan z!n
一言驚醒夢中人	jrt jin gi~ si~ mu~ zu~ jrn
一語不發	jrt jv brt fat
一語中的	jrt jv zu~ dik
一語破的	jrt jv po dik
一語道破	jrt jv dou po
一語雙關	jrt jv s@~ #an
一說	jrt svt
一諾千金	jrt nok cin grm
一講曹操曹操就到	jrt go~ cou cou cou cou zru dou
一貧如洗	jrt prn jv sri
一貫	jrt gun
一走了之	jrt zru liu zi
一起	jrt hei
一路	jrt lou
一路上	jrt lou s@~
一路來	jrt lou loi
一路平安	jrt lou pi~ on
一路發	jrt lou fat
一路路	jrt lou lou
一路順風	jrt lou s!n fu~
一路風塵	jrt lou fu~ crn
一蹴即至	jrt cuk zik zi
一蹴可幾	jrt cuk ho gei
一蹴而就	jrt cuk ji zru
一蹴而得	jrt cuk ji drk
一蹶不振	jrt kvt brt zrn
一躍而起	jrt j@k ji hei
一身	jrt srn
一身債	jrt srn zai
一身兩役	jrt srn l@~ jik
一身是膽	jrt srn si dam
一身汗	jrt srn hon
一身蟻	jrt srn ~ri
一身鬆	jrt srn su~
一較高下	jrt gau gou ha
一輩子	jrt bui zi
一輪	jrt l!n
一輪嘴	jrt l!n z!i
一轆木	jrt luk muk
一轆木噉	jrt luk muk grm
一轆杉	jrt luk cam
一轉眼	jrt zvn ~an
一辭莫贊	jrt ci mok zan
一通百通	jrt tu~ bak tu~
一逞獸欲	jrt ci~ sru juk
一連	jrt lin
一連串	jrt lin cvn
一遍	jrt pin
一遍又一遍	jrt pin jru jrt pin
一過性	jrt #o si~
一道	jrt dou
一遞一個	jrt dri jrt go
一遞一聲	jrt dri jrt si~
一邊	jrt bin
一邊倒	jrt bin dou
一部	jrt bou
一部二十四史不知從何說起	jrt bou ji srp sei si brt zi cu~ ho svt hei
一部份	jrt bou frn
一部分	jrt bou frn
一醉方休	jrt z!i fo~ jru
一醉解千愁	jrt z!i gai cin sru
一針見血	jrt zrm gin hvt
一錘子買賣	jrt c!i zi mai mai
一錘定音	jrt c!i di~ jrm
一錢不值	jrt cin brt zik
一錢如命	jrt cin jv mi~
一錯再錯	jrt co zoi co
一鍋粥	jrt wo zuk
一鑊	jrt wok
一鑊泡	jrt wok pou
一鑊熟	jrt wok suk
一鑊粥	jrt wok zuk
一鑊繑起	jrt wok kiu hei
一門	jrt mun
一門心思	jrt mun srm si
一閃念	jrt sim nim
一閃而過	jrt sim ji #o
一陣	jrt zrn
一陣子	jrt zrn zi
一陣間	jrt zrn gan
一陣陣	jrt zrn zrn
一陣風	jrt zrn fu~
一隅	jrt jv
一隻屐	jrt zek kek
一隻屐噉	jrt zek kek grm
一隻牛	jrt zek ~ru
一隻狗噉	jrt zek gru grm
一雙	jrt s@~
一雙鞋	jrt s@~ hai
一雞死一雞鳴	jrt gri sei jrt gri mi~
一雨成秋	jrt jv si~ cru
一霎	jrt sap
一霎時	jrt sap si
一霎眼	jrt sap ~an
一霎間	jrt sap gan
一靈真性	jrt li~ zrn si~
一面	jrt min
一面之交	jrt min zi gau
一面之詞	jrt min zi ci
一面倒	jrt min dou
一面屁	jrt min pei
一項	jrt ho~
一項一項地	jrt ho~ jrt ho~ dei
一頭	jrt tru
一頭…一頭…	jrt tru …jrt tru…
一頭半個月	jrt tru bun go jvt
一頭半月	jrt tru bun jvt
一頭家	jrt tru ga
一頭栽進	jrt tru zoi z!n
一頭煙	jrt tru jin
一頭霧水	jrt tru mou s!i
一頸血	jrt ge~ hvt
一顆老鼠屎壞了一鍋湯	jrt fo lou sv si wai liu jrt wo to~
一顆老鼠屎壞了一鍋粥	jrt fo lou sv si wai liu jrt wo zuk
一額汗	jrt ~ak hon
一類	jrt l!i
一類保護動物	jrt l!i bou wu du~ mrt
一飛沖天	jrt fei cu~ tin
一飲而盡	jrt jrm ji z!n
