⺕	gri
借歪	ze me
借歪啲	ze me di
借殼	ze hok
借水遁	ze s!i d!n
借火	ze fo
借用	ze ju~
借端	ze dvn
借箸	ze zv
借給	ze krp
借腹生子	ze fuk sr~ zi
借花敬佛	ze fa gi~ frt
借花獻佛	ze fa hin frt
借記	ze gei
借記卡	ze gei kat
借詞	ze ci
借調	ze diu
借讀	ze duk
借貸	ze tai
借資挹注	ze zi jrp zv
借賬	ze z@~
借過	ze #o
借酒澆愁	ze zru giu sru
借重	ze cu~
借錢	ze cin
借鏡	ze ge~
借鑑	ze gam
借鑒	ze gam
借開	ze hoi
借閱	ze jvt
借頭借路	ze tru ze lou
借題發揮	ze tri fat fri
倡	c@~
倡儀	c@~ ji
倡始	c@~ ci
倡導	c@~ dou
倡導者	c@~ dou ze
倡狂	c@~ $o~
倡言	c@~ jin
倡言者	c@~ jin ze
倡議	c@~ ji
倡議書	c@~ ji sv
倥侗	hu~ tu~
倥傯	hu~ zu~
倦	gvn
倦容	gvn ju~
倦怠	gvn toi
倨傲	g!i ~ou
倩影	sin ji~
倩碧	sin bik
倩裝	sin zo~
倪	~ri
倪匡	~ri ho~
倪嗣沖	~ri zi cu~
倪柝聲	~ri tok si~
倪桂珍	~ri #ri zrn
倫	l!n
倫巴	l!n ba
倫常	l!n s@~
倫敦	l!n d!n
倫敦國際金融期貨交易所	l!n d!n #ok zri grm ju~ kei fo gau jik so
倫敦大學亞非學院	l!n d!n dai hok a fei hok jvn
倫敦大學學院	l!n d!n dai hok hok jvn
倫敦證券交易所	l!n d!n zi~ hvn gau jik so
倫敦金屬交易所	l!n d!n grm suk gau jik so
倫比	l!n bei
倫滘糕	l!n gau gou
倫理	l!n lei
倫理學	l!n lei hok
倫琴	l!n krm
倫琴射線	l!n krm se sin
倭	wo
倭人	wo jrn
倭寇	wo kru
倭瓜	wo #a
倭軍	wo #rn
倭馬亞王朝	wo ma a wo~ ciu
倭黑猩猩	wo hrk si~ si~
倷	noi
值	zik
值勤	zik krn
值回票價	zik wui piu ga
值域	zik wik
值夜	zik je
值守	zik sru
值宿	zik suk
值得	zik drk
值得一提	zik drk jrt tri
值得信賴	zik drk s!n lai
值得品味	zik drk brn mei
值得敬佩	zik drk gi~ pui
值得注意	zik drk zv ji
值得稱讚	zik drk ci~ zan
值日	zik jrt
值日生	zik jrt sr~
值星	zik si~
值班	zik ban
值遇	zik jv
值錢	zik cin
倾偈	ki~ gri
偃師	jin si
偃師市	jin si si
偃旗息鼓	jin kei sik gu
假	ga
假一賠十	ga jrt pui srp
假人	ga jrn
假人像	ga jrn z@~
假仁假義	ga jrn ga ji
假令	ga li~
假作	ga zok
假使	ga si
假使間	ga si gan
假借	ga ze
假借字	ga ze zi
假借義	ga ze ji
假假哋	ga ga dei
假假地	ga ga dei
假假若是	ga ga j@k si
假充	ga cu~
假公濟私	ga gu~ zri si
假冒	ga mou
假冒偽劣	ga mou ~ri lvt
假冒品	ga mou brn
假分數	ga frn sou
假動作	ga du~ zok
假名	ga me~
假吏	ga lei
假否定句	ga fru di~ g!i
假唱	ga c@~
假善人	ga sin jrn
假單	ga dan
假嗓	ga so~
假嗓子	ga so~ zi
假報告	ga bou gou
假大空	ga dai hu~
假如	ga jv
假子	ga zi
假定	ga di~
假寐	ga mei
假小子	ga siu zi
假山	ga san
假性	ga si~
假性近視	ga si~ grn si
假想	ga s@~
假惺惺	ga si~ si~
假意	ga ji
假慈悲	ga ci bei
假戲真唱	ga hei zrn c@~
假手	ga sru
假托	ga tok
假扮	ga ban
假招子	ga ziu zi
假拱	ga gu~
假日	ga jrt
假期	ga kei
假案	ga on
假條	ga tiu
假正經	ga zi~ gi~
假死	ga sei
假牙	ga ~a
假的	ga dik
假眼	ga ~an
假種皮	ga zu~ pei
假而	ga ji
假聲	ga se~
假肢	ga zi
假肯定句	ga hr~ di~ g!i
假腿	ga t!i
假膊	ga bok
假芫茜	ga jvn sri
假若	ga j@k
假藥	ga j@k
假裝	ga zo~
假託	ga tok
假設	ga cit
假設性	ga cit si~
假設語氣	ga cit jv hei
假詞疊詞	ga ci dip ci
假話	ga wa
假說	ga svt
假證	ga zi~
假證件	ga zi~ gin
假象	ga z@~
假象牙	ga z@~ ~a
假貨	ga fo
假途滅虢	ga tou mit #ik
假造	ga zou
假道	ga dou
假道伐虢	ga dou frt #ik
假釋	ga sik
假鈔	ga cau
假面	ga min
假面具	ga min g!i
假面舞會	ga min mou wui
假音	ga jrm
假高音	ga gou jrm
假髮	ga fat
偈	gri
偈油	gri jru
偉	wri
偉人	wri jrn
偉力	wri lik
偉哥	wri go
偉器	wri hei
偉士牌	wri si pai
偉大	wri dai
偉岸	wri ~on
偉晶岩	wri zi~ ~am
偉業	wri jip
偉績	wri zik
偉舉	wri g!i
偉觀	wri gun
偉麗	wri lri
偌大	je dai
偎	wui
偎傍	wui bo~
偏	pin
偏低	pin dri
偏偏	pin pin
偏僻	pin pik
偏光	pin #o~
偏勞	pin lou
偏向	pin h@~
偏執	pin zrp
偏執型	pin zrp ji~
偏執狂	pin zrp $o~
偏壓	pin at
偏好	pin hou
偏安	pin on
偏宕	pin do~
偏寵	pin cu~
偏將	pin z@~
偏巧	pin hau
偏差	pin ca
偏差距離	pin ca k!i lei
偏師	pin si
偏幫	pin bo~
偏廈	pin ha
偏廢	pin fri
偏待	pin doi
偏微分	pin mei frn
偏微分方程	pin mei frn fo~ ci~
偏心	pin srm
偏心率	pin srm l!t
偏心眼	pin srm ~an
偏心矩	pin srm g!i
偏愛	pin oi
偏態	pin tai
偏房	pin fo~
偏才	pin coi
偏振	pin zrn
偏振光	pin zrn #o~
偏振波	pin zrn bo
偏斜	pin ce
偏方	pin fo~
偏旁	pin po~
偏析	pin sik
偏極	pin gik
偏極化	pin gik fa
偏極濾光鏡	pin gik l!i #o~ ge~
偏極鏡	pin gik ge~
偏正式合成詞	pin zi~ sik hrp si~ ci
偏殿	pin din
偏激	pin gik
偏狹	pin hap
偏疼	pin tr~
偏癱	pin tan
偏私	pin si
偏科	pin fo
偏移	pin ji
偏置	pin zi
偏置電流	pin zi din lru
偏置電阻	pin zi din zo
偏聽偏信	pin ti~ pin s!n
偏航	pin ho~
偏蝕	pin sik
偏袒	pin tan
偏西	pin sri
偏要	pin jiu
偏見	pin gin
偏角	pin gok
偏註	pin zv
偏誤	pin ~
偏護	pin wu
偏轉	pin zvn
偏轉角	pin zvn gok
偏辭	pin ci
偏遠	pin jvn
偏邪不正	pin ce brt zi~
偏重	pin cu~
偏鋒	pin fu~
偏門	pin mun
偏關	pin #an
偏關縣	pin #an jvn
偏離	pin lei
偏頗	pin po
偏頭痛	pin tru tu~
偏題	pin tri
偏食	pin sik
偏高	pin gou
偕	gai
偕同	gai tu~
偕老	gai lou
做	zou
做一天和尚撞一天鐘	zou jrt tin wo s@~ zo~ jrt tin zu~
做七	zou crt
做不到	zou brt dou
做世界	zou sri gai
做主	zou zv
做乜	zou mrt
做乜嘢	zou mrt je
做事	zou si
做人	zou jrn
做人世	zou jrn sri
做人家	zou jrn ga
做人情	zou jrn ci~
做伴	zou pun
做伴兒	zou bun ji
做低	zou dri
做作	zou zok
做冬	zou du~
做出	zou c!t
做到	zou dou
做到氣咳	zou dou hei krt
做功	zou gu~
做功夫	zou gu~ fu
做功課	zou gu~ fo
做咗人豬仔	zou zo jrn zv zri
做咩	zou me
做唔切	zou m cit
做嘢	zou je
做壽	zou sru
做夢	zou mu~
做大	zou dai
做大戲	zou dai hei
做好	zou hou
做好做歹	zou hou zou dai
做好做醜	zou hou zou cru
做好心	zou hou srm
做妥	zou to
做媒	zou mui
做學問	zou hok mrn
做完	zou jvn
做官	zou gun
做客	zou hak
做小	zou siu
做小抄	zou siu cau
做工	zou gu~
做工作	zou gu~ zok
做工夫	zou gu~ fu
做市商	zou si s@~
做廣告宣傳	zou #o~ gou svn cvn
做廳長	zou te~ z@~
做張做勢	zou z@~ zou sri
做張做智	zou z@~ zou zi
做張做致	zou z@~ zou zi
做得	zou drk
做忌	zou gei
做愛	zou oi
做慣乞兒懶做官	zou #an hrt ji lan zou gun
做成	zou si~
做戲	zou hei
做手	zou sru
做手信	zou sru s!n
做手腳	zou sru g@k
做把戲	zou ba hei
做掉	zou diu
做操	zou cou
做收錢	zou sru cin
做數	zou sou
做文章	zou mrn z@~
做朋友	zou pr~ jru
做東	zou du~
做法	zou fat
做活	zou wut
做活兒	zou wut ji
做派	zou pai
做準備工作	zou z!n bei gu~ zok
做滿月	zou mun jvt
做為	zou wri
做牛做馬	zou ~ru zou ma
做球	zou kru
做瓜	zou #a
做生不如做熟	zou sr~ brt jv zou suk
做生意	zou sa~ ji
做生日	zou sa~ jrt
做生活	zou sr~ wut
做百囉	zou bak lo
做眉做眼	zou mei zou ~an
做眼	zou ~an
做眼色	zou ~an sik
做磨心	zou mo srm
做禮拜	zou lri bai
做禱告	zou tou gou
做絕	zou zvt
做義工	zou ji gu~
做老襯	zou lou crn
做聲	zou se~
做臉	zou lim
做自己	zou zi gei
做莊	zou zo~
做菜	zou coi
做親	zou crn
做買賣	zou mai mai
做賊	zou cak
做賊心虛	zou cak srm h!i
做運動	zou wrn du~
做醜人	zou cru jrn
做針線	zou zrm sin
做錯	zou co
做雞	zou gri
做飯	zou fan
做騷	zou sou
做鬼	zou #ri
做鬼做馬	zou #ri zou ma
做鬼臉	zou #ri lim
做鬼都唔靈	zou #ri dou m li~
做鴨	zou ap
做龜公	zou #ri gu~
停	ti~
停下	ti~ ha
停下來	ti~ ha loi
停低	ti~ dri
停住	ti~ zv
停俸	ti~ fu~
停口	ti~ hru
停學	ti~ hok
停定	ti~ di~
停屍房	ti~ si fo~
停工	ti~ gu~
停息	ti~ sik
停戰	ti~ zin
停戰日	ti~ zin jrt
停損單	ti~ svn dan
停損點	ti~ svn dim
停擺	ti~ bai
停放	ti~ fo~
停板制度	ti~ ban zri dou
停業	ti~ jip
停機	ti~ gei
停機坪	ti~ gei pi~
停歇	ti~ hit
停止	ti~ zi
停步	ti~ bou
停泊	ti~ pak
停滯	ti~ zri
停滯不前	ti~ zri brt cin
停火	ti~ fo
停火協定	ti~ fo hip di~
停火協議	ti~ fo hip ji
停火線	ti~ fo sin
停牌	ti~ pai
停產	ti~ can
停用	ti~ ju~
停留	ti~ lru
停留時間	ti~ lru si gan
停當	ti~ do~
停盤	ti~ pun
停站	ti~ zam
停經	ti~ gi~
停職	ti~ zik
停航	ti~ ho~
停薪	ti~ srn
停表	ti~ biu
停課	ti~ fo
停車	ti~ ce
停車位	ti~ ce wri
停車位置	ti~ ce wri zi
停車場	ti~ ce c@~
停車庫	ti~ ce fu
停車標誌	ti~ ce biu zi
停車站	ti~ ce zam
停車計時器	ti~ ce gri si hei
停辦	ti~ ban
停酒止樂	ti~ zru zi ~ok
停電	ti~ din
停靠	ti~ kau
停靠港	ti~ kau go~
停靠站	ti~ kau zam
停頓	ti~ d!n
停食	ti~ sik
偢	ciu
健	gin
健保	gin bou
健兒	gin ji
健全	gin cvn
健力士世界紀錄	gin lik si sri gai gei luk
健在	gin zoi
健壯	gin zo~
健將	gin z@~
健康	gin ho~
健康保險	gin ho~ bou him
健康受損	gin ho~ sru svn
健康檢查	gin ho~ gim ca
健康狀態	gin ho~ zo~ tai
健康狀況	gin ho~ zo~ fo~
健康食品	gin ho~ sik brn
健忘	gin mo~
健忘症	gin mo~ zi~
健怡可樂	gin ji ho lok
健旺	gin wo~
健步	gin bou
健步如飛	gin bou jv fei
健碩	gin sek
健美	gin mei
健美操	gin mei cou
健美運動	gin mei wrn du~
健行	gin hr~
健診	gin crn
健談	gin tam
健身	gin srn
健身室	gin srn srt
健身房	gin srn fo~
健身操	gin srn cou
健身館	gin srn gun
偪	bik
偪人	bik jrn
偭	min
側	zrk
側便	zrk bin
側側膊	zrk zrk bok
側側膊唔多覺	zrk zrk bok m do gok
側刀旁	zrk dou po~
側向	zrk h@~
側壁	zrk bik
側室	zrk srt
側寫	zrk se
側影	zrk ji~
側擊	zrk gik
側根	zrk grn
側泳	zrk wi~
側生動物	zrk sr~ du~ mrt
側田	zrk tin
側目	zrk muk
側空翻	zrk hu~ fan
側線	zrk sin
側翼	zrk jik
側耳	zrk ji
側膊	zrk bok
側臥	zrk ~o
側記	zrk gei
側跟	zrk grn
側身	zrk srn
側躺	zrk to~
側近	zrk grn
側邊	zrk bin
側邊欄	zrk bin lan
側重	zrk zu~
側重點	zrk zu~ dim
側鋒	zrk fu~
側錄	zrk luk
側鏈	zrk lin
側門	zrk mun
側面	zrk min
偵	zi~
偵察	zi~ cat
偵察兵	zi~ cat bi~
偵察員	zi~ cat jvn
偵察性	zi~ cat si~
偵察機	zi~ cat gei
偵探	zi~ tam
偵探小說	zi~ tam siu svt
偵查	zi~ ca
偵毒器	zi~ duk hei
偵毒管	zi~ duk gun
偵測	zi~ cak
偵測器	zi~ cak hei
偵破	zi~ po
偵緝	zi~ crp
偵聽	zi~ te~
偵訊	zi~ s!n
偵辦	zi~ ban
偶	~ru
偶一	~ru jrt
偶一為之	~ru jrt wri zi
偶人	~ru jrn
偶像	~ru z@~
偶像劇	~ru z@~ kek
偶像化	~ru z@~ fa
偶像崇拜	~ru z@~ su~ bai
偶函數	~ru ham sou
偶合	~ru hrp
偶數	~ru sou
偶極	~ru gik
偶然	~ru jin
偶然事件	~ru jin si gin
偶然性	~ru jin si~
偶爾	~ru ji
偶犯	~ru fan
偶發	~ru fat
偶而	~ru ji
偶聯反應	~ru lvn fan ji~
偶見	~ru gin
偶語棄市	~ru jv hei si
偶蹄	~ru tri
偶蹄目	~ru tri muk
偶蹄類	~ru tri l!i
偶遇	~ru jv
偷	tru
偷偷	tru tru
偷偷摸摸	tru tru mo mo
偷去	tru h!i
偷取	tru c!i
偷吃	tru hek
偷呃拐騙	tru rk #ai pin
偷嘢	tru je
偷天換日	tru tin wun jrt
偷安	tru on
偷工	tru gu~
偷工減料	tru gu~ gam liu
偷師	tru si
偷情	tru ci~
偷惰	tru do
偷懶	tru lan
偷拍	tru pak
偷梁換柱	tru l@~ wun cv
偷步	tru bou
偷渡	tru dou
偷渡客	tru dou hak
偷渡者	tru dou ze
偷漏	tru lru
偷漢	tru hon
偷漢子	tru hon zi
偷獵	tru lip
偷獵者	tru lip ze
偷生	tru sr~
偷盜	tru dou
偷看	tru hon
偷眼	tru ~an
偷睇	tru tri
偷稅	tru s!i
偷窺	tru $ri
偷窺狂	tru $ri $o~
偷竊	tru sit
偷笑	tru siu
偷聽	tru te~
偷腥	tru se~
偷薄	tru bok
偷襲	tru zap
偷走	tru zru
偷越	tru jvt
偷車	tru ce
偷運	tru wrn
偷錢	tru cin
偷閑	tru han
偷閒	tru han
偷雞	tru gri
偷雞不成蝕把米	tru gri brt si~ sik ba mri
偷雞不著蝕把米	tru gri brt z@k sik ba mri
偷雞唔到蝕揸米	tru gri m dou sit za mri
偷雞摸狗	tru gri mo gru
偷食	tru sik
偷食唔抹嘴	tru sik m mat z!i
偷香竊玉	tru h@~ sit juk
偷龍轉鳳	tru lu~ zvn fu~
偽	~ri
偽代碼	~ri doi ma
偽劣	~ri lvt
偽君子	~ri #rn zi
偽善	~ri sin
偽善者	~ri sin ze
偽基百科	~ri gei bak fo
偽幣	~ri bri
偽托	~ri tok
偽書	~ri sv
偽朝	~ri ciu
偽科學	~ri fo hok
偽經	~ri gi~
偽裝	~ri zo~
偽證	~ri zi~
偽軍	~ri #rn
偽迹	~ri zik
偽造	~ri zou
偽造品	~ri zou brn
偽造者	~ri zou ze
偽鈔	~ri cau
偽頂	~ri de~
偽飾	~ri sik
傀	fai
傀儡	fai l!i
傀儡戲	fai l!i hei
傀儡政府	fai l!i zi~ fu
傀儡政權	fai l!i zi~ kvn
傅	fu
傅作義	fu zok ji
傅會	fu wui
傅科擺	fu fo bai
傅穎	fu wi~
傅立葉	fu lap jip
傅立葉變換	fu lap jip bin wun
傅說	fu svt
傅里葉	fu lei jip
傈僳	l!t
傈僳族	l!t suk zuk
傍	po~
傍亮	bo~ l@~
傍人籬壁	bo~ jrn lei bik
傍人門戶	bo~ jrn mun wu
傍午	bo~ ~
傍友	bo~ jru 
傍大款	bo~ dai fun
傍家	po~ ga
傍家兒	bo~ ga ji
傍戶而立	bo~ wu ji lap
傍晚	po~ man
傍柳隨花	bo~ lru c!i fa
傍水	bo~ s!i
傍近	bo~ grn
傍邊	po~ bin
傍黑	bo~ hrk
傑	git
傑伊漢港	git ji hon go~
傑佛茲	git frt zi
傑作	git zok
傑克	git hrk
傑克森	git hrk srm
傑克遜	git hrk s!n
傑出	git c!t
傑利蠑螈	git lei wi~ jvn
傑士派	git si pai
傑夫	git fu
傑奎琳	git fui lrm
傑弗遜	git frt s!n
傑志	git zi
傑拉	git lai
傑拉德	git lai drk
傑斐遜城	git fei s!n si~
傑瑞	git s!i
傑米	git mri
傑西	git sri
傑西卡	git sri ka
傑里科	git lei fo
傑里米	git lei mri
傖雞	ca~ gri
傖雞婆	ca~ gri po
傘	san
傘下	san ha
傘兵	san bi~
傘帳	san z@~
傘形	san ji~
傘形科	san ji~ fo
傘菌	san $rn
傘降	san go~
備	bei
備下	bei ha
備中	bei zu~
備件	bei gin
備份	bei frn
備取	bei c!i
備受	bei sru
備品	bei brn
備嘗辛苦	bei s@~ srn fu
備妥	bei to
備忘錄	bei mo~ luk
備悉	bei sik
備戰	bei zin
備抵	bei dri
備料	bei liu
備查	bei ca
備案	bei on
備用	bei ju~
備用二級頭呼吸器	bei ju~ ji krp tru fu krp hei
備用環	bei ju~ wan
備細	bei sri
備考	bei hau
備而不用	bei ji brt ju~
備耕	bei ga~
備胎	bei toi
備至	bei zi
備荒	bei fo~
備註	bei zv
備課	bei fo
備辦	bei ban
傢伙	ga fo
傢俬	ga si
傢俬舖	ga si pou
傢俬雜物	ga si zap mrt
傢俱	ga k!i
傢具	ga g!i
傣族	tai zuk
催	c!i
催乳	c!i jv
催乳激素	c!i jv gik sou
催促	c!i cuk
催化	c!i fa
催化作用	c!i fa zok ju~
催化劑	c!i fa zri
催化裂化	c!i fa lit fa
催吐	c!i tou
催吐劑	c!i tou zri
催命	c!i me~
催命符	c!i me~ fu
催命鬼	c!i me~ #ri
催奶	c!i nai
催妝	c!i zo~
催情	c!i ci~
催淚	c!i l!i
催淚劑	c!i l!i zri
催淚大片	c!i l!i dai pin
催淚彈	c!i l!i dan
催淚瓦斯	c!i l!i ~a si
催熟	c!i suk
催生	c!i sa~
催生婆	c!i sa~ po
催生素	c!i sa~ sou
催產	c!i can
催眠	c!i min
催眠曲	c!i min kuk
催眠狀態	c!i min zo~ tai
催眠藥	c!i min j@k
催眠術	c!i min s!t
催穀	c!i guk
催肥	c!i fei
催肥劑	c!i fei zri
催芽	c!i ~a
催討	c!i tou
催證	c!i zi~
催谷	c!i guk
催逼	c!i bik
傭	ju~
傭人	ju~ jrn
傭人領班	ju~ jrn li~ ban
傭兵	ju~ bi~
傭婢	ju~ pei
傭婦	ju~ fu
傭工	ju~ gu~
傭金	ju~ grm
傲	~ou
傲人	~ou jrn
傲岸	~ou ~on
傲慢	~ou man
傲慢與偏見	~ou man jv pin gin
傲氣	~ou hei
傲然	~ou jin
傲睨	~ou ~ri
傲立	~ou lap
傲自	~ou zi
傲視	~ou si
傲骨	~ou #rt
傳	cvn
傳三過四	cvn sam #o sei
傳世	cvn sri
傳人	cvn jrn
傳代	cvn doi
傳令	cvn li~
傳令兵	cvn li~ bi~
傳來	cvn loi
傳信	cvn s!n
傳信鴿	cvn s!n grp
傳入	cvn jrp
傳入神經	cvn jrp srn gi~
傳出	cvn c!t
傳出神經	cvn c!t srn gi~
傳動	cvn du~
傳動器	cvn du~ hei
傳動帶	cvn du~ dai
傳動機構	cvn du~ gei kru
傳動比	cvn du~ bei
傳動系統	cvn du~ hri tu~
傳動裝置	cvn du~ zo~ zi
傳動軸	cvn du~ zuk
傳名	cvn mi~
傳告	cvn gou
傳呼	cvn fu
傳呼機	cvn fu gei
傳呼電話	cvn fu din wa
傳唱	cvn c@~
傳喚	cvn wun
傳單	cvn dan
傳單廣	cvn dan #o~
傳回	cvn wui
傳報	cvn bou
傳奇	cvn kei
傳奇人物	zvn kei jrn mrt
傳媒	cvn mui
傳宗接代	cvn zu~ zip doi
傳家	cvn ga
傳家寶	cvn ga bou
傳寄	cvn gei
傳寫	cvn se
傳導	cvn dou
傳布	cvn bou
傳幫帶	cvn bo~ dai
傳心術	cvn srm s!t
傳情	cvn ci~
傳感	cvn grm
傳感器	cvn grm hei
傳戒	cvn gai
傳承	cvn si~
傳抄	cvn cau
傳授	cvn sru
傳揚	cvn j@~
傳播	cvn bo
傳播四方	cvn bo sei fo~
傳播媒介	cvn bo mui gai
傳播媒體	cvn bo mui tri
傳播學	cvn bo hok
傳教	cvn gau
傳教團	cvn gau tvn
傳教士	cvn gau si
傳旨	cvn zi
傳書鴿	cvn sv grp
傳本	cvn bun
傳染	cvn jim
傳染性	cvn jim si~
傳染源	cvn jim jvn
傳染病	cvn jim be~
傳染病學	cvn jim be~ hok
傳檄	cvn hrt
傳法	cvn fat
傳流	cvn lru
傳熱	cvn jit
傳熱學	cvn jit hok
傳燈	cvn dr~
傳球	cvn kru
傳略	cvn l@k
傳發	cvn fat
傳真	cvn zrn
傳真機	cvn zrn gei
傳真發送	cvn zrn fat su~
傳真號碼	cvn zrn hou ma
傳真電報	cvn zrn din bou
傳神	cvn srn
傳票	cvn piu
傳種	cvn zu~
傳粉	cvn frn
傳給	cvn krp
傳統	cvn tu~
傳統中國醫藥	cvn tu~ zu~ #ok ji j@k
傳統教育	cvn tu~ gau juk
傳統觀念	cvn tu~ gun nim
傳統詞類	cvn tu~ ci l!i
傳統醫藥	cvn tu~ ji j@k
傳經	cvn gi~
傳經送寶	cvn gi~ su~ bou
傳習	cvn zap
傳聞	cvn mrn
傳聞證據	cvn mrn zi~ g!i
傳聲	cvn se~
傳聲器	cvn se~ hei
傳聲筒	cvn si~ tu~
傳藝	cvn ~ri
傳見	cvn gin
傳觀	cvn gun
傳言	cvn jin
傳訊	cvn s!n
傳記	zvn gei
傳記性	zvn gei si~
傳話	cvn wa
傳話人	cvn wa jrn
傳語	cvn jv
傳誦	cvn zu~
傳說	cvn svt
傳説	cvn svt
傳講	cvn go~
傳譯	cvn jik
傳質	cvn zrt
傳贊	cvn zan
傳輸	cvn  sv
傳輸協定	cvn sv hip di~
傳輸媒界	cvn sv mui gai
傳輸媒質	cvn sv mui zrt
傳輸媒體	cvn sv mui tri
傳輸層	cvn sv cr~
傳輸技術	cvn sv gei s!t
傳輸控制	cvn sv hu~ zri
傳輸控制協定	cvn sv hu~ zri hip di~
傳輸服務	cvn sv fuk mou
傳輸模式	cvn sv mou sik
傳輸率	cvn sv l!t
傳輸線	cvn sv sin
傳輸設備	cvn sv cit bei
傳輸距離	cvn sv k!i lei
傳輸通道	cvn sv tu~ dou
傳輸速率	cvn sv cuk l!t
傳述	cvn s!t
傳送	cvn su~
傳送帶	cvn su~ dai
傳送服務	cvn su~ fuk mou
傳遍	cvn pin
傳道	cvn dou
傳道受業	cvn dou sru jip
傳道書	cvn dou sv
傳道者	cvn dou ze
傳道部	cvn dou bou
傳達	cvn dat
傳達員	cvn dat jvn
傳達室	cvn dat srt
傳遞	cvn dri
傳遞者	cvn dri ze
傳銷	cvn siu
傳開	cvn hoi
傳閱	cvn jvt
傳頌	cvn zu~
傴僂	jv lru
債	zai
債主	zai zv
債仔	zai zri
債券	zai hvn
債務	zai mou
債務人	zai mou jrn
債務國	zai mou #ok
債務擔保證券	zai mou dam bou zi~ hvn
債務證券	zai mou zi~ hvn
債務證書	zai mou zi~ sv
債戶	zai wu
債權	zai kvn
債權人	zai kvn jrn
債權國	zai kvn #ok
債款	zai fun
債臺高築	zai toi gou zuk
傷	s@~
傷不起	s@~ brt hei
傷亡	s@~ mo~
傷人	s@~ jrn
傷俘	s@~ fu
傷別	s@~ bit
傷勢	s@~ sri
傷及無辜	s@~ krp mou gu
傷口	s@~ hru
傷和氣	s@~ wo hei
傷員	s@~ jvn
傷天害理	s@~ tin hoi lei
傷害	s@~ hoi
傷寒	s@~ hon
傷寒沙門氏菌	s@~ hon sa mun si $rn
傷寒症	s@~ hon zi~
傷弓之鳥	s@~ gu~ zi niu
傷心	s@~ srm
傷心慘目	s@~ srm cam muk
傷心致死	s@~ srm zi sei
傷心蒿目	s@~ srm hou muk
傷悲	s@~ bei
傷悼	s@~ dou
傷感	s@~ grm
傷懷	s@~ wai
傷殘	s@~ can
傷殘人員	s@~ can jrn jvn
傷疤	s@~ ba
傷病員	s@~ be~ jvn
傷痕	s@~ hrn
傷痕累累	s@~ hrn l!i l!i
傷痛	s@~ tu~
傷筋動骨	s@~ grn du~ #rt
傷筋斷骨	s@~ grn tvn #rt
傷者	s@~ ze
傷耗	s@~ hou
傷腦筋	s@~ nou grn
傷號	s@~ hou
傷透	s@~ tru
傷風	s@~ fu~
傷風敗俗	s@~ fu~ bai zuk
傻	so
傻不愣登	so brt li~ dr~
傻乎乎	so fu fu
傻事	so si
傻人	so jrn
傻人有傻福	so jrn jru so fuk
傻仔	so zri 
傻仔水	so zi s!i
傻佬	so lou
傻傻哋	so so dei
傻傻戇戇	so so ~o~ ~o~
傻冒	so mou
傻叉	so ca
傻大個	so dai go
傻大個兒	so dai go ji
傻女	so n!i
傻妹	so mui
傻婆	so po
傻子	so zi
傻屄	so bei
傻帽	so mou
傻帽兒	so mou ji
傻更	so ga~
傻更更	so gr~ gr~
傻氣	so hei
傻瓜	so #a
傻瓜機	so #a gei
傻瓜相機	so #a s@~ gei
傻眼	so ~an
傻笑	so siu
傻蛋	so dan
傻裡傻氣	so l!i so hei
