㩎	ye:4
㩐	df:4
㩒	qn:2
㩓	hv:3
㩔	tb:2
㩖	ql:2
㩗	xi:2
㩘	ni:3
㩙	sd:1
㩚	mg:2
㩛	tr:2
㩜	lj:3
㩝	hk:2
㩞	ci:4
㩟	vd:4
㩠	ao:1 pc:3 pz:2
㩡	lo:3
㩢	mp:4 mi:4
㩤	fu:1
㩦	xp:2 xi:1
㩧	bo:2
㩨	hv:4
㩩	qy:3
㩪	xp:2
㩭	bo:2
㩮	qm:2
㩯	po:2
㩰	jc:3
㩱	jt:2
㩲	kb:3
㩳	ss:3
㩴	ju:2 qu:2
㩵	ee:4
㩶	np:4
㩷	qm:1
㩸	dp:2
㩹	dp:2
㩻	qi:1 gv:4 gv:3
㩼	vi:1
㩽	qi:2 ii:4 ee:4
㩾	vv:4 qi:2
㩿	ku:1
㪀	yu:2
㪁	qn:2 kj:1 qm:4 qm:2
㪂	ku:1
㪃	he:2
㪄	fu:2
㪆	di:3
㪇	xm:4
㪈	gv:4
㪉	he:2
㪊	qb:2
㪋	hj:4 he:3
㪌	ts:3
㪍	bo:2 bw:4
㪎	uj:3 na:4
㪏	bi:3
㪐	lu:4
㪑	ye:4
㪒	ni:2
㪓	iy:2
