#level1
眼	yjon
腰	ycon
映	ykon
昧	mwon
豚	tyon
脈	moon
脈	mdon
脹	vhon
膿	nson
鵬	pgon
明	mkoo
暗	anoo
朋	pgoo
冒	mcoo
晶	jkoo
晴	qkoo
昌	ihoo
脂	vioo
暑	uuoo
曙	uuoo
影	ykop
易	yiop
膨	pgop
腸	ihop
眠	mmoq
是	uior
肱	gsos
曇	tjos
睦	muot
早	zcou
智	viou
肝	gjou
脆	cvov
昆	kyov
肥	fwov
腕	wjov
鼎	dkov
胞	bcov
匙	uiov
匙	iiov
晩	wjov
腹	fuow
旺	whow
景	jkox
瞥	ppox
晒	udox
臆	yiox
県	xmox
瞭	lnox
瞭	leox
最	zvoy
服	fuoy
股	guoy
暖	nroy
肢	vioy
暇	xxoy
腿	tvoz
手	uzpa
用	yspa
神	ufpa
重	vspa
重	ispa
丹	djpa
牛	nqpa
竹	vupa
鼻	bipa
川	irpa
垂	ivpa
袖	xqpa
斤	jbpa
丘	qqpa
禅	ujpa
禅	ijpa
臼	jqpa
舛	irpa
順	uypa
須	xupa
頗	popa
頴	ykpa
穎	ykpa
兵	bkpb
興	xkpb
輿	yupb
禎	vfpb
升	ugpc
甜	tmpc
祷	dcpc
我	wopd
多	dopd
外	wdpd
初	iupd
奥	aopd
夕	xipd
斥	iipd
舟	vzpd
兆	vcpd
禄	lupd
卵	lrpd
補	bupd
襖	aopd
月	ytpe
岳	ytpe
祝	vupe
卿	qkpe
生	ugpf
九	jqpg
灸	jqph
烏	wuph
所	sopj
祈	qipj
視	uipj
帥	ukpj
師	uipj
后	hzpk
向	xlpk
名	mkpk
周	vzpk
舌	uepk
裕	yupk
裾	jupk
袷	qxpk
喬	qnpk
祐	yzpk
禍	hopk
動	dspl
血	xtpm
血	xppm
禾	hepm
牒	dppm
人	rfpn
入	rupn
失	uipn
及	jipn
八	bapn
久	jqpn
朱	vupn
爪	vxpn
爪	vcpn
瓜	gxpn
乏	fapn
裸	lopn
乗	igpn
乗	ugpn
釈	uipn
自	zipo
白	bdpo
昏	hypo
盾	dypo
旨	vipo
身	ufpp
被	bwpp
被	pipp
祖	zupq
氏	uipq
臭	xqpq
臭	izpq
祇	qipq
祇	vipq
疑	yipr
系	xips
系	jips
鬼	gvps
係	xips
係	jips
福	fupt
社	uept
番	pjpt
番	fjpt
裡	lipt
乎	hupu
千	qmpu
牌	pdpu
辞	cipu
卑	bwpu
阜	fupu
壬	rfpu
片	pmpv
乱	lrpv
礼	lipv
毛	mcpv
鼠	uupv
褐	hepv
胤	ybpv
祉	vipv
衿	jbpv
祭	jipx
襟	jbpx
祢	mipx
禰	mipx
反	fjpy
段	drpy
翻	fjpy
版	bjpy
祥	xlpy
狸	liqa
酋	qqqa
並	bkqa
猟	lpqa
其	qiqb
