#level1
鉄	jntp
鉾	jnmz
銀	jnyb
錬	jnlm
鎌	jnjk
鎌	jnlm
帳	jnvh
帽	jomc
旭	joxu
錆	joql
錯	joco
錫	jpxi
欣	jqxb
欽	jqqb
錠	jrdk
鈴	jslk
鉱	jsgl
幅	jtfu
幡	jtfj
錨	jtmc
針	juvf
鐸	judo
鈍	jvdy
鉦	jvvg
幣	jxbi
鍍	jydu
鍛	jydr
鍵	jzjm
日	kari
山	kauj
目	kamu
叫	kajn
巨	kaju
臣	kaif
哩	kali
匪	kafw
喧	kaxr
嘘	kaxu
嘘	kaui
唾	kato
咋	kaze
咋	kaza
咋	kava
皿	kamb
唖	kaya
噸	kady
囲	kaww
顎	kaee
只	kbvi
唄	kbbw
唄	kbbd
噴	kbpf
噂	kczy
団	kctr
因	kdyb
咽	kdyj
咽	kdye
嘱	kdvu
圃	kdpu
臥	kdwo
諮	kdzi
咲	kdgr
喫	kdii
嚇	kdxx
嚇	kdhe
四	kesi
兄	kexs
匹	kepi
呪	kevz
唯	kfww
哲	kfve
吃	kgii
号	kghc
哉	kgzd
啓	khqi
吊	kjdn
匠	kjjl
匝	kjza
回	kkhv
同	kkts
器	kkqi
品	kkpb
固	kkgu
匿	kkni
嗣	kksi
臨	kklb
呂	kklv
噛	kknp
岡	kkgh
呆	kmdd
困	kmky
喋	kmva
喋	kmdp
吸	knxi
味	knww
啄	knvo
詠	knys
喚	knhr
嘆	kntj
骨	kogu
唱	koih
哨	kouc
噌	kocg
吻	kpwf
欧	kqou
吹	kqiv
叱	kqii
吠	kqfw
足	krzu
咳	krke
囚	krqq
轡	kspw
緊	ksjb
吐	kttu
呼	kuhu
叶	kuye
叶	kuxp
医	kuyi
田	kutm
喉	kuhz
嘩	kuhx
喝	kvhe
吟	kvyb
邑	kvyi
吋	kvcy
嚇	kvxx
嚇	kvhe
圏	kvqr
圏	kvjr
網	kvwh
国	kwgo
呈	kwig
匡	kwkl
唆	kwso
区	kxqu
区	kxou
凶	kxxs
図	kxtu
殴	kyou
園	kyyr
